Date,Province,Region,Last Update,Confirmed,Deaths,Recovered,Lat,Long
2020-03-03 12:00:00,Hubei,Mainland China,2020-03-03 11:43:02,67217,2835,36208,30.9756,112.2707
2020-03-03 12:00:00,NULL,South Korea,2020-03-03 09:43:02,5186,28,30,36,128
2020-03-03 12:00:00,NULL,Italy,2020-03-03 20:03:06,2502,79,160,43,12
2020-03-03 12:00:00,NULL,Iran,2020-03-03 14:23:03,2336,77,291,32,53
2020-03-03 12:00:00,Guangdong,Mainland China,2020-03-03 10:23:10,1350,7,1101,23.3417,113.4244
2020-03-03 12:00:00,Henan,Mainland China,2020-03-03 09:43:02,1272,22,1231,33.882,113.614
2020-03-03 12:00:00,Zhejiang,Mainland China,2020-03-03 12:33:02,1213,1,1093,29.1832,120.0934
2020-03-03 12:00:00,Hunan,Mainland China,2020-03-03 13:03:04,1018,4,906,27.6104,111.7088
2020-03-03 12:00:00,Anhui,Mainland China,2020-03-03 14:33:03,990,6,936,31.8257,117.2264
2020-03-03 12:00:00,Jiangxi,Mainland China,2020-03-03 02:03:11,935,1,870,27.614,115.7221
2020-03-03 12:00:00,Shandong,Mainland China,2020-03-03 07:53:03,758,6,511,36.3427,118.1498
2020-03-03 12:00:00,Diamond Princess cruise ship,Others,2020-03-03 03:13:06,706,6,10,35.4437,139.638
2020-03-03 12:00:00,Jiangsu,Mainland China,2020-03-03 11:03:09,631,0,562,32.9711,119.455
2020-03-03 12:00:00,Chongqing,Mainland China,2020-03-03 23:13:05,576,6,490,30.0572,107.874
2020-03-03 12:00:00,Sichuan,Mainland China,2020-03-03 09:33:02,538,3,394,30.6171,102.7103
2020-03-03 12:00:00,Heilongjiang,Mainland China,2020-03-03 13:03:04,480,13,366,47.862,127.7615
2020-03-03 12:00:00,Beijing,Mainland China,2020-03-03 02:03:11,414,8,288,40.1824,116.4142
2020-03-03 12:00:00,Shanghai,Mainland China,2020-03-03 03:43:02,338,3,294,31.202,121.4491
2020-03-03 12:00:00,Hebei,Mainland China,2020-03-03 09:33:02,318,6,300,38.0428,114.5149
2020-03-03 12:00:00,Fujian,Mainland China,2020-03-03 13:43:03,296,1,260,26.0789,117.9874
2020-03-03 12:00:00,NULL,Japan,2020-03-03 20:03:06,293,6,43,36,138
2020-03-03 12:00:00,Guangxi,Mainland China,2020-03-03 00:23:14,252,2,202,23.8298,108.7881
2020-03-03 12:00:00,Shaanxi,Mainland China,2020-03-02 08:03:12,245,1,216,35.1917,108.8701
2020-03-03 12:00:00,NULL,France,2020-03-03 15:23:03,204,4,12,47,2
2020-03-03 12:00:00,NULL,Germany,2020-03-03 20:03:06,196,0,16,51,9
2020-03-03 12:00:00,Yunnan,Mainland China,2020-03-03 03:43:02,174,2,169,24.974,101.487
2020-03-03 12:00:00,Hainan,Mainland China,2020-03-03 23:43:02,168,5,155,19.1959,109.7453
2020-03-03 12:00:00,NULL,Spain,2020-03-03 23:53:03,165,1,2,40,-4
2020-03-03 12:00:00,Guizhou,Mainland China,2020-03-02 01:13:06,146,2,114,26.8154,106.8748
2020-03-03 12:00:00,Tianjin,Mainland China,2020-03-03 11:43:02,136,3,124,39.3054,117.323
2020-03-03 12:00:00,Shanxi,Mainland China,2020-03-03 23:13:05,133,0,124,37.5777,112.2922
2020-03-03 12:00:00,Liaoning,Mainland China,2020-03-03 14:33:03,125,1,106,41.2956,122.6085
2020-03-03 12:00:00,NULL,Singapore,2020-03-03 15:23:03,110,0,78,1.2833,103.8333
2020-03-03 12:00:00,Hong Kong,Hong Kong,2020-03-03 11:53:01,100,2,37,22.3,114.2
2020-03-03 12:00:00,Jilin,Mainland China,2020-03-02 15:03:23,93,1,83,43.6661,126.1923
2020-03-03 12:00:00,Gansu,Mainland China,2020-03-03 13:43:03,91,2,86,36.0611,103.8343
2020-03-03 12:00:00,Xinjiang,Mainland China,2020-03-03 07:33:03,76,3,68,41.1129,85.2401
2020-03-03 12:00:00,Inner Mongolia,Mainland China,2020-03-03 09:23:02,75,1,59,44.0935,113.9448
2020-03-03 12:00:00,Ningxia,Mainland China,2020-03-02 01:33:02,74,0,69,37.2692,106.1655
2020-03-03 12:00:00,NULL,Kuwait,2020-03-02 20:33:02,56,0,0,29.5,47.75
2020-03-03 12:00:00,NULL,Switzerland,2020-03-03 16:43:02,56,0,2,46.8182,8.2275
2020-03-03 12:00:00,NULL,United Kingdom,2020-03-03 15:13:26,51,0,8,55,-3
2020-03-03 12:00:00,NULL,Bahrain,2020-03-02 20:33:02,49,0,0,26.0275,50.55
2020-03-03 12:00:00,Unassigned Location (From Diamond Princess),United States,2020-03-02 19:53:03,45,0,0,35.4437,139.638
2020-03-03 12:00:00,NULL,Thailand,2020-03-02 06:23:04,43,1,31,15,101
2020-03-03 12:00:00,Taiwan,Taiwan,2020-03-03 06:43:02,42,1,12,23.7,121
2020-03-03 12:00:00,NULL,Malaysia,2020-03-03 12:33:02,36,0,22,2.5,112.5
2020-03-03 12:00:00,NULL,Iraq,2020-03-03 20:03:06,32,0,0,33,44
2020-03-03 12:00:00,NULL,Norway,2020-03-03 14:33:03,32,0,0,60.472,8.4689
2020-03-03 12:00:00,NULL,United Arab Emirates,2020-03-03 23:43:02,27,0,5,24,54
2020-03-03 12:00:00,NULL,Netherlands,2020-03-03 15:13:26,24,0,0,52.1326,5.2913
2020-03-03 12:00:00,NULL,Austria,2020-03-03 15:13:26,21,0,0,47.5162,14.5501
2020-03-03 12:00:00,NULL,Sweden,2020-03-03 15:13:26,21,0,0,63,16
2020-03-03 12:00:00,"King County, WA",United States,2020-03-03 20:23:05,21,6,1,47.548,-121.9836
2020-03-03 12:00:00,"Toronto, ON",Canada,2020-03-03 20:03:08,19,0,2,43.6532,-79.3832
2020-03-03 12:00:00,Qinghai,Mainland China,2020-02-21 04:43:02,18,0,18,35.7452,95.9956
2020-03-03 12:00:00,NULL,Vietnam,2020-02-25 08:53:02,16,0,16,16,108
2020-03-03 12:00:00,New South Wales,Australia,2020-03-03 15:13:26,13,0,4,-33.8688,151.2093
2020-03-03 12:00:00,NULL,Belgium,2020-03-03 15:13:26,13,0,1,50.8333,4
2020-03-03 12:00:00,NULL,Lebanon,2020-03-02 20:53:02,13,0,0,33.8547,35.8623
2020-03-03 12:00:00,NULL,Israel,2020-03-03 04:23:07,12,0,1,31,35
2020-03-03 12:00:00,NULL,Oman,2020-03-03 15:23:03,12,0,2,21,57
