id_stadistic,confirmed,deaths,recovered,last_update,id_province,id_region,latitude,longitude,id_date
1,67217,2835,36208,2020-03-03 11:43:02,1,47,30.9756,112.2707,1
2,5186,28,30,2020-03-03 09:43:02,0,71,36,128,1
3,2502,79,160,2020-03-03 20:03:06,0,37,43,12,1
4,2336,77,291,2020-03-03 14:23:03,0,33,32,53,1
5,1350,7,1101,2020-03-03 10:23:10,2,47,23.3417,113.4244,1
6,1272,22,1231,2020-03-03 09:43:02,3,47,33.882,113.614,1
7,1213,1,1093,2020-03-03 12:33:02,4,47,29.1832,120.0934,1
8,1018,4,906,2020-03-03 13:03:04,5,47,27.6104,111.7088,1
9,990,6,936,2020-03-03 14:33:03,6,47,31.8257,117.2264,1
10,935,1,870,2020-03-03 02:03:11,7,47,27.614,115.7221,1
11,758,6,511,2020-03-03 07:53:03,8,47,36.3427,118.1498,1
12,706,6,10,2020-03-03 03:13:06,9,60,35.4437,139.638,1
13,631,0,562,2020-03-03 11:03:09,10,47,32.9711,119.455,1
14,576,6,490,2020-03-03 23:13:05,11,47,30.0572,107.874,1
15,538,3,394,2020-03-03 09:33:02,12,47,30.6171,102.7103,1
16,480,13,366,2020-03-03 13:03:04,13,47,47.862,127.7615,1
17,414,8,288,2020-03-03 02:03:11,14,47,40.1824,116.4142,1
18,338,3,294,2020-03-03 03:43:02,15,47,31.202,121.4491,1
19,318,6,300,2020-03-03 09:33:02,16,47,38.0428,114.5149,1
20,296,1,260,2020-03-03 13:43:03,17,47,26.0789,117.9874,1
21,293,6,43,2020-03-03 20:03:06,0,39,36,138,1
22,252,2,202,2020-03-03 00:23:14,18,47,23.8298,108.7881,1
23,245,1,216,2020-03-02 08:03:12,19,47,35.1917,108.8701,1
24,204,4,12,2020-03-03 15:23:03,0,25,47,2,1
25,196,0,16,2020-03-03 20:03:06,0,27,51,9,1
26,174,2,169,2020-03-03 03:43:02,20,47,24.974,101.487,1
27,168,5,155,2020-03-03 23:43:02,21,47,19.1959,109.7453,1
28,165,1,2,2020-03-03 23:53:03,0,72,40,-4,1
29,146,2,114,2020-03-02 01:13:06,22,47,26.8154,106.8748,1
30,136,3,124,2020-03-03 11:43:02,23,47,39.3054,117.323,1
31,133,0,124,2020-03-03 23:13:05,24,47,37.5777,112.2922,1
32,125,1,106,2020-03-03 14:33:03,25,47,41.2956,122.6085,1
33,110,0,78,2020-03-03 15:23:03,0,70,1.2833,103.8333,1
34,100,2,37,2020-03-03 11:53:01,26,29,22.3,114.2,1
35,93,1,83,2020-03-02 15:03:23,27,47,43.6661,126.1923,1
36,91,2,86,2020-03-03 13:43:03,28,47,36.0611,103.8343,1
37,76,3,68,2020-03-03 07:33:03,29,47,41.1129,85.2401,1
38,75,1,59,2020-03-03 09:23:02,30,47,44.0935,113.9448,1
39,74,0,69,2020-03-02 01:33:02,31,47,37.2692,106.1655,1
40,56,0,0,2020-03-02 20:33:02,0,41,29.5,47.75,1
41,56,0,2,2020-03-03 16:43:02,0,75,46.8182,8.2275,1
42,51,0,8,2020-03-03 15:13:26,0,80,55,-3,1
43,49,0,0,2020-03-02 20:33:02,0,9,26.0275,50.55,1
44,45,0,0,2020-03-02 19:53:03,32,81,35.4437,139.638,1
45,43,1,31,2020-03-02 06:23:04,0,77,15,101,1
46,42,1,12,2020-03-03 06:43:02,33,76,23.7,121,1
47,36,0,22,2020-03-03 12:33:02,0,48,2.5,112.5,1
48,32,0,0,2020-03-03 20:03:06,0,34,33,44,1
49,32,0,0,2020-03-03 14:33:03,0,58,60.472,8.4689,1
50,27,0,5,2020-03-03 23:43:02,0,79,24,54,1
51,24,0,0,2020-03-03 15:13:26,0,53,52.1326,5.2913,1
52,21,0,0,2020-03-03 15:13:26,0,7,47.5162,14.5501,1
53,21,0,0,2020-03-03 15:13:26,0,74,63,16,1
54,21,6,1,2020-03-03 20:23:05,34,81,47.548,-121.9836,1
55,19,0,2,2020-03-03 20:03:08,35,14,43.6532,-79.3832,1
56,18,0,18,2020-02-21 04:43:02,36,47,35.7452,95.9956,1
57,16,0,16,2020-02-25 08:53:02,0,82,16,108,1
58,13,0,4,2020-03-03 15:13:26,37,6,-33.8688,151.2093,1
59,13,0,1,2020-03-03 15:13:26,0,11,50.8333,4,1
60,13,0,0,2020-03-02 20:53:02,0,43,33.8547,35.8623,1
61,12,0,1,2020-03-03 04:23:07,0,36,31,35,1
62,12,0,2,2020-03-03 15:23:03,0,59,21,57,1
63,11,0,1,2020-03-03 15:23:03,38,6,-28.0167,153.4,1
64,11,0,0,2020-03-03 15:13:26,0,30,64.9631,-19.0208,1
65,11,0,1,2020-03-03 23:33:03,39,81,37.3541,-121.9552,1
66,10,0,9,2020-03-03 12:33:02,40,46,22.1667,113.55,1
67,10,1,0,2020-03-03 15:23:03,0,67,43.9424,12.4578,1
68,9,0,4,2020-03-02 00:53:03,41,6,-37.8136,144.9631,1
69,9,0,3,2020-03-03 23:53:03,42,14,49.2827,-123.1207,1
70,9,0,0,2020-03-03 09:53:08,0,17,45.1667,15.5,1
71,7,0,0,2020-03-03 15:13:26,0,21,-1.8312,-78.1834,1
72,7,0,0,2020-03-01 23:23:02,0,28,39.0742,21.8243,1
73,7,0,0,2020-03-03 03:23:03,0,64,25.3548,51.1839,1
74,6,0,0,2020-03-03 15:13:26,0,19,56.2639,9.5018,1
75,6,0,1,2020-03-01 23:23:02,0,24,64,26,1
76,6,1,0,2020-03-03 20:23:05,43,81,48.033,-121.8339,1
77,5,0,0,2020-03-03 03:23:03,0,2,28.0339,1.6596,1
78,5,0,0,2020-03-03 15:13:26,0,18,49.8175,15.473,1
79,5,0,3,2020-03-02 22:33:09,0,31,21,78,1
80,5,0,1,2020-03-03 10:03:04,0,49,23,-102,1
81,5,0,0,2020-03-03 04:33:03,0,61,30.3753,69.3451,1
82,4,0,2,2020-03-02 20:33:02,44,81,41.7377,-87.6976,1
83,3,0,2,2020-02-29 02:03:10,45,6,-34.9285,138.6007,1
84,3,0,0,2020-03-01 02:43:03,0,8,40.1431,47.5769,1
