id_province,province
0,NULL
1,Hubei
2,Guangdong
3,Henan
4,Zhejiang
5,Hunan
6,Anhui
7,Jiangxi
8,Shandong
9,Diamond Princess cruise ship
10,Jiangsu
11,Chongqing
12,Sichuan
13,Heilongjiang
14,Beijing
15,Shanghai
16,Hebei
17,Fujian
18,Guangxi
19,Shaanxi
20,Yunnan
21,Hainan
22,Guizhou
23,Tianjin
24,Shanxi
25,Liaoning
26,Hong Kong
27,Jilin
28,Gansu
29,Xinjiang
30,Inner Mongolia
31,Ningxia
32,Unassigned Location (From Diamond Princess)
33,Taiwan
34,"King County, WA"
35,"Toronto, ON"
36,Qinghai
37,New South Wales
38,Queensland
39,"Santa Clara, CA"
40,Macau
41,Victoria
42,British Columbia
43,"Snohomish County, WA"
44,"Cook County, IL"
45,South Australia
46,Western Australia
47,"Fulton County, GA"
48,"Grafton County, NH"
49,"Hillsborough, FL"
50,"Providence, RI"
51,"Sacramento County, CA"
52,"San Benito, CA"
53,"San Diego County, CA"
54,"San Mateo, CA"
55,"Washington County, OR"
56,Tasmania
57," Montreal, QC"
58,"London, ON"
59,Tibet
60," Norfolk County, MA"
61,"Berkeley, CA"
62,"Boston, MA"
63,"Humboldt County, CA"
64,"Los Angeles, CA"
65,"Madison, WI"
66,"Maricopa County, AZ"
67,"New York City, NY"
68,"Orange, CA"
69,"Placer County, CA"
70,"San Antonio, TX"
71,"Sarasota, FL"
72,"Sonoma County, CA"
73,"Tempe, AZ"
74,"Umatilla, OR"
75,"Wake County, NC"
76,"Westchester County, NY"
77,From Diamond Princess
78,"Lackland, TX (From Diamond Princess)"
79,"Omaha, NE (From Diamond Princess)"
80,"Travis, CA (From Diamond Princess)"
81,"Portland, OR"
82,"Seattle, WA"
83,"Chicago, IL"
84,None
85,"Ashland, NE"
86,"Travis, CA"
87,"Lackland, TX"
88,Cruise Ship
89,Ontario
90,Washington
91,Illinois
92,California
93,Arizona
94,Bavaria
95,Chicago
