id_update,update_time
1,2009-07-06 09:00:00
2,2009-07-03 09:00:00
3,2009-07-01 09:00:00
4,2009-06-29 09:00:00
5,2009-06-26 07:00:00
6,2009-06-24 07:00:00
7,2009-06-22 07:00:00
8,2009-06-19 07:00:00
9,2009-06-17 12:00:00
10,2009-06-15 17:00:00
11,2009-06-12 07:00:00
12,2009-06-11 14:00:00
13,2009-06-10 06:00:00
14,2009-06-08 06:00:00
15,2009-06-05 06:00:00
16,2009-06-03 06:00:00
17,2009-06-01 06:00:00
18,2009-05-29 06:00:00
19,2009-05-27 08:00:00
20,2009-05-26 06:00:00
21,2009-05-25 08:00:00
22,2009-05-23 08:00:00
