id_statistic,cases,deaths,id_update,id_country
1,5,0,1,1
2,2,0,1,2
3,2485,60,1,3
4,5298,10,1,4
5,19,0,1,5
6,7,0,1,6
7,15,0,1,7
8,18,0,1,8
9,12,0,1,9
10,54,0,1,10
11,1,0,1,11
12,416,0,1,12
13,1,0,1,13
14,737,1,1,14
15,2,0,1,15
16,124,0,1,16
17,10,0,1,17
18,7,0,1,18
19,7983,25,1,19
20,3,0,1,20
21,14,0,1,21
22,7376,14,1,22
23,2040,0,1,23
24,118,2,1,24
25,1,0,1,25
26,277,3,1,26
27,2,0,1,27
28,1,0,1,28
29,85,0,1,29
30,109,0,1,30
31,15,0,1,31
32,66,0,1,32
33,1,0,1,33
34,108,2,1,34
35,204,0,1,35
36,78,0,1,36
37,319,0,1,37
38,13,0,1,38
39,3,0,1,39
40,2,0,1,40
41,47,0,1,41
42,332,0,1,42
43,505,0,1,43
44,151,0,1,44
45,286,2,1,45
46,2,0,1,46
47,123,1,1,47
48,11,0,1,48
49,4,0,1,49
50,129,0,1,50
51,20,0,1,51
52,1,0,1,53
53,12,0,1,54
54,74,0,1,55
55,681,0,1,56
56,146,0,1,57
57,32,0,1,58
58,1790,0,1,59
59,23,0,1,60
60,15,0,1,61
61,202,0,1,62
62,35,0,1,63
63,5,0,1,64
64,1,0,1,65
65,49,0,1,66
66,1,0,1,67
67,3,0,1,68
68,6,0,1,69
69,112,0,1,70
70,24,0,1,71
71,1,0,1,72
72,10262,119,1,73
73,10,0,1,75
74,17,0,1,76
75,1,0,1,77
76,5,0,1,78
77,155,0,1,79
78,1059,3,1,80
79,321,0,1,81
80,41,0,1,82
81,4,0,1,83
82,1,0,1,84
83,417,0,1,85
84,1,0,1,86
85,106,1,1,87
86,916,0,1,88
87,1709,1,1,89
88,25,0,1,90
89,42,0,1,91
90,23,0,1,93
91,41,0,1,94
92,3,0,1,95
93,1,0,1,96
94,1,0,1,97
95,114,0,1,98
96,15,0,1,99
97,1055,0,1,100
98,18,0,1,101
99,14,0,1,102
100,18,0,1,103
101,776,1,1,104
102,19,0,1,105
103,11,0,1,106
104,84,0,1,107
105,76,0,1,108
106,1,0,1,109
107,2076,7,1,110
108,2,0,1,111
109,65,0,1,112
110,5,0,1,113
111,40,0,1,114
112,1,0,1,115
113,1,0,1,116
114,8,0,1,117
115,7464,3,1,118
116,33902,170,1,119
117,18,0,1,92
118,1,0,1,124
119,195,4,1,120
120,2,0,1,121
121,206,0,1,122
122,181,0,1,123
123,60,0,1,125
124,8,0,1,126
125,5,0,2,1
126,2,0,2,2
127,1587,26,2,3
128,4568,9,2,4
129,15,0,2,5
130,6,0,2,6
131,15,0,2,7
132,12,0,2,8
133,12,0,2,9
134,49,0,2,10
135,1,0,2,11
136,283,0,2,12
137,1,0,2,13
138,737,1,2,14
139,2,0,2,15
140,85,0,2,16
141,10,0,2,17
142,7,0,2,18
143,7983,25,2,19
144,3,0,2,20
145,14,0,2,21
146,7376,14,2,22
147,1814,0,2,23
148,101,2,2,24
149,227,2,2,26
150,2,0,2,27
151,73,0,2,29
152,70,0,2,30
153,15,0,2,31
154,63,0,2,32
155,1,0,2,33
156,108,2,2,34
157,163,0,2,35
158,67,0,2,36
159,253,0,2,37
160,13,0,2,38
161,3,0,2,39
162,2,0,2,40
163,43,0,2,41
164,310,0,2,42
165,470,0,2,43
166,109,0,2,44
167,254,2,2,45
168,123,1,2,47
169,11,0,2,48
170,4,0,2,49
171,104,0,2,50
172,8,0,2,51
173,1,0,2,52
174,11,0,2,54
175,51,0,2,55
176,577,0,2,56
177,130,0,2,57
178,32,0,2,58
179,1446,0,2,59
180,22,0,2,60
181,12,0,2,61
182,202,0,2,62
183,35,0,2,63
184,3,0,2,64
185,1,0,2,65
186,47,0,2,66
187,3,0,2,68
188,4,0,2,69
189,112,0,2,70
190,2,0,2,71
191,1,0,2,72
192,10262,119,2,73
193,9,0,2,75
194,17,0,2,76
195,1,0,2,77
196,5,0,2,78
197,154,0,2,79
198,912,0,2,80
199,308,0,2,81
200,41,0,2,82
201,3,0,2,83
202,1,0,2,84
203,417,0,2,85
204,1,0,2,86
205,103,0,2,87
206,538,0,2,88
207,1709,1,2,89
208,19,0,2,90
209,27,0,2,91
210,10,0,2,93
211,36,0,2,94
212,3,0,2,95
213,1,0,2,96
214,1,0,2,97
215,89,0,2,98
216,15,0,2,99
217,878,0,2,100
218,18,0,2,101
219,5,0,2,102
220,12,0,2,103
221,760,1,2,104
222,17,0,2,105
223,11,0,2,106
224,74,0,2,107
225,72,0,2,108
226,1414,3,2,110
227,53,0,2,112
228,3,0,2,113
229,40,0,2,114
230,1,0,2,115
231,1,0,2,116
232,8,0,2,117
233,7464,3,2,118
234,33902,170,2,119
235,195,1,2,120
236,2,0,2,121
237,204,0,2,122
238,131,0,2,123
239,30,0,2,125
240,7,0,2,126
241,2,0,3,1
242,2,0,3,2
243,1587,26,3,3
244,4090,7,3,4
245,15,0,3,5
246,6,0,3,6
247,15,0,3,7
248,1,0,3,8
249,10,0,3,9
250,47,0,3,10
251,1,0,3,11
252,205,0,3,12
253,680,1,3,14
254,1,0,3,15
255,29,0,3,16
256,10,0,3,17
257,6,0,3,18
258,7983,25,3,19
259,3,0,3,20
260,13,0,3,21
261,6211,12,3,22
262,1518,0,3,23
263,93,2,3,24
264,279,2,3,26
265,2,0,3,27
266,46,0,3,29
267,48,0,3,30
268,9,0,3,31
269,55,0,3,32
270,1,0,3,33
271,108,2,3,34
272,163,0,3,35
273,67,0,3,36
274,226,0,3,37
275,13,0,3,38
276,2,0,3,39
277,2,0,3,40
278,26,0,3,41
279,287,0,3,42
280,417,0,3,43
281,92,0,3,44
282,254,2,3,45
283,118,1,3,47
284,10,0,3,48
285,4,0,3,49
286,104,0,3,50
287,8,0,3,51
288,1,0,3,52
289,11,0,3,54
290,41,0,3,55
291,506,0,3,56
292,123,0,3,57
293,32,0,3,58
294,1266,0,3,59
295,20,0,3,60
296,1,0,3,61
297,202,0,3,62
298,34,0,3,63
299,3,0,3,64
300,1,0,3,65
301,39,0,3,66
302,1,0,3,68
303,4,0,3,69
304,112,0,3,70
305,7,0,3,72
306,8680,116,3,73
307,4,0,3,75
308,17,0,3,76
309,1,0,3,77
310,3,0,3,78
311,142,0,3,79
312,711,0,3,80
313,293,0,3,81
314,32,0,3,82
315,3,0,3,83
316,417,0,3,85
317,1,0,3,86
318,96,0,3,87
319,538,0,3,88
320,861,1,3,89
321,15,0,3,90
322,17,0,3,91
323,10,0,3,93
324,28,0,3,94
325,3,0,3,95
326,1,0,3,96
327,1,0,3,97
328,81,0,3,98
329,12,0,3,99
330,701,0,3,100
331,13,0,3,101
332,4,0,3,102
333,1,0,3,103
334,717,1,3,104
335,15,0,3,105
336,11,0,3,106
337,69,0,3,107
338,56,0,3,108
339,1414,3,3,110
340,53,0,3,112
341,3,0,3,113
342,32,0,3,114
343,1,0,3,116
344,8,0,3,117
345,6552,3,3,118
346,27717,127,3,119
347,195,1,3,120
348,2,0,3,121
349,193,0,3,122
350,123,0,3,123
351,13,0,3,125
352,7,0,3,126
353,2,0,4,1
354,2,0,4,2
355,1488,23,4,3
356,4038,7,4,4
357,12,0,4,5
358,4,0,4,6
359,15,0,4,7
360,1,0,4,8
361,10,0,4,9
362,43,0,4,10
363,1,0,4,11
364,126,0,4,12
365,452,0,4,14
366,1,0,4,15
367,29,0,4,16
368,7,0,4,17
369,6,0,4,18
370,7775,21,4,19
371,3,0,4,20
372,9,0,4,21
373,5186,7,4,22
374,1442,0,4,23
375,88,2,4,24
376,255,1,4,26
377,2,0,4,27
378,34,0,4,29
379,25,0,4,30
380,9,0,4,31
381,44,0,4,32
382,1,0,4,33
383,108,2,4,34
384,125,0,4,35
385,50,0,4,36
386,226,0,4,37
387,13,0,4,38
388,2,0,4,39
389,2,0,4,40
390,26,0,4,41
391,240,0,4,42
392,366,0,4,43
393,86,0,4,44
394,254,2,4,45
395,118,1,4,47
396,8,0,4,48
397,4,0,4,49
398,64,0,4,50
399,8,0,4,51
400,1,0,4,52
401,10,0,4,54
402,39,0,4,55
403,469,0,4,56
404,112,0,4,57
405,21,0,4,58
406,1212,0,4,59
407,18,0,4,60
408,202,0,4,62
409,30,0,4,63
410,3,0,4,64
