id_country,country
1,Algeria
2,Antigua and Barbuda
3,Argentina
4,Australia
5,Austria
6,Bahamas
7,Bahrain
8,Bangladesh
9,Barbados
10,Belgium
11,"Bermuda, UKOT"
12,Bolivia
13,Bosnia and Hezegovina
14,Brazil
15,"British Virgin Islands, UKOT"
16,Brunei Darussalam
17,Bulgaria
18,Cambodia
19,Canada
20,Cap Verde
21,"Cayman Islands, UKOT"
22,Chile
23,China
24,Colombia
25,Cook Island
26,Costa Rica
27,Cote d'Ivoire
28,Croatia
29,Cuba
30,Cyprus
31,Czech Republic
32,Denmark
33,Dominica
34,Dominican Republic
35,Ecuador
36,Egypt
37,El Salvador
38,Estonia
39,Ethiopia
40,Fiji
41,Finland
42,France
43,Germany
44,Greece
45,Guatemala
46,Guyana
47,Honduras
48,Hungary
49,Iceland
50,India
51,Indonesia
52,Iran
53,"Iran, Islamic Republic"
54,Iraq
55,Ireland
56,Israel
57,Italy
58,Jamaica
59,Japan
60,Jordan
61,Kenya
62,"Korea, Republic of"
63,Kuwait
64,Laos
65,Latvia
66,Lebanon
67,Libya
68,Lithuania
69,Luxembourg
70,Malaysia
71,Malta
72,Mauritius
73,Mexico
74,Monaco
75,Montenegro
76,Morocco
77,Myanmar
78,Nepal
79,Netherlands
80,New Zealand
81,Nicaragua
82,Norway
83,Oman
84,Palau
85,Panama
86,Papua New Guinea
87,Paraguay
88,Peru
89,Philippines
90,Poland
91,Portugal
92,Puerto Rico
93,Qatar
94,Romania
95,Russia
96,Saint Lucia
97,Samoa
98,Saudi Arabia
99,Serbia
100,Singapore
101,Slovakia
102,Slovenia
103,South Africa
104,Spain
105,Sri Lanka
106,Suriname
107,Sweden
108,Switzerland
109,Syria
110,Thailand
111,The former Yugoslav Republic of Macedonia
112,Trinidad and Tobago
113,Tunisia
114,Turkey
115,Uganda
116,Ukraine
117,United Arab Emirates
118,United Kingdom
119,United States of America
120,Uruguay
121,Vanuatu
122,Venezuela
123,Viet Nam
124,Virgin Islands
125,West Bank and Gaza Strip
126,Yemen
