id_city,city,id_state
1, Niederzissen,104
2,1~2F,0
3,Kyonancho,30
4,330-9501,61
5,Fujisawa,31
6,A Coruna,10
7,威海市,71
8,临海市,67
9,临沂市,71
10,常州市,66
11,常熟市,66
12,三亚市,77
13,丽江市,81
14,丽水市,67
15,中山市,75
16,东阳市,67
17,东营市,71
18,东莞市,75
19,上海市,65
20,上虞市,67
21,保定市,30
22,嘉善市,67
23,嘉兴,67
24,嘉兴市,67
25,呼和浩特,32
26,咸阳市,82
27,哈尔滨,29
28,唐山市,30
29,儋州市,77
30,大庆市,29
31,大理市,81
32,大连市,63
33,天津市,62
34,太仓市,66
35,太原市,31
36,奉化市,67
37,延吉市,64
38,廊坊市,61
39,姜堰市,66
40,宿迁市,66
41,宁德市,69
42,宁波市,65
43,宝鸡市,82
44,宜兴市,66
45,宜昌市,73
46,兰州市,83
47,兰溪市,67
48,Århus,111
49,合肥市,68
50,吴江市,66
51,台州市,67
52,吉林市,64
53,十堰市,73
54,南宁市,76
55,Łódź,241
56,南昌市,70
57,南京市,66
58,南通市,66
59,张家口,30
60,张家港,66
61,张家港市,66
62,佛山市,75
63,余姚市,67
64,德州市,71
65,德阳市,79
66,徐州市,66
67,广州市,75
68,义乌市,67
69,乐山市,79
70,乐清市,67
71,九江市,70
72,岳阳市,74
73,Aachen,103
74,Aalborg,108
75,Aalborg SV,108
76,Aarau,49
77,Aarhus C,111
78,Abbotsford,40
79,Aberdeen,137
80,Abilene,331
81,Abingdon,119
82,Abington,118
83,Absecon,321
84,Abu Dhabi,3
85,Abu Halifa,186
86,Abu Hamour,246
87,Acapulco,204
88,Accokeek,119
89,Acton,118
90,Acworth,304
91,Adachi-ku,30
92,Adana,92
93,Addison,308
94,Adelanto,300
95,Admiralty,86
96,Adrian,314
97,株洲市,74
98,无锡市,66
99,成都市,79
100,桂林,76
101,武汉市,73
102,洛阳,72
103,温州市,67
104,温岭市,67
105,清远市,75
106,昆山市,66
107,昆明市,81
108,梅州市,75
109,日照市,71
110,汕头市,75
111,江山市,67
112,江门市,75
113,江阴市,66
114,江苏省,66
115,浦东新区,65
116,海宁市,67
117,海口市,77
118,海门市,66
119,济宁市,71
120,济南市,71
121,淄博市,71
122,深圳市,75
123,淮安市,66
124,慈溪市,67
125,承德市,30
126,扬中市,66
127,扬州市,66
128,杭州市,67
129,漳州市,69
130,潍坊市,71
131,湘潭市,74
132,湛江市,75
133,湖州市,67
134,沈阳市,63
135,泰安市,71
136,泰州市,66
137,泉州市,69
138,惠州市,75
139,溧阳市,66
140,抚顺市,63
141,柳州,76
142,Affton,94
143,Afyon,14
144,Afyonkarahisar,14
145,Ageo,61
146,Aghia Paraskevi,139
147,Agoura,300
148,Agoura Hills,300
149,Aguascalientes,194
150,AHAHEIM,300
151,Ahmadi,186
152,Aiea,305
153,Aiken,329
154,Airdrie,39
155,Airway Heights,334
156,Aizumi-cho,70
157,Ajax,44
158,Ajman,2
159,Akashi,177
160,Akishima,30
161,Akita,15
162,Akron,325
163,Al Ain,3
164,Al Barsha,4
165,AL KHARJ,92
166,Al Riffa,31
167,Al Riqqa,186
168,Alabaster,298
169,Alajuela,89
170,Alameda,300
171,Alamo,300
172,Alamogordo,322
173,Alamosa,301
174,Albany,300
175,Alborg,108
176,Albuquerque,322
177,Alcoa,160
178,Aldaia,114
179,Al-Dammam,164
180,Aldergrove,40
181,Aldie,332
182,Alexandria,312
183,Algonquin,308
184,Alhambra,300
185,Alicante,115
186,Aliso Viejo,300
187,Allen,331
188,Allen Park,314
189,Allendale,314
190,Allentown,328
191,Alliance,325
192,Alma,314
193,Almada,61
194,Almaty,191
195,Almondsbury,135
196,Aloha,327
197,Alor Setar,28
198,Alpharetta,304
199,Alpine,300
200,Altamonte Springs,303
201,Altoona,306
202,Altrincham,135
203,Alvin,331
204,Amadora,61
205,Amagasaki,177
206,Amarillo,331
207,Amelia,325
208,American Canyon,300
209,American Fork,228
210,Amersfoort,228
211,Ames,306
212,Amherst,118
213,Amityville,324
214,Amman,162
215,Ampang,168
216,Amstelveen,226
217,Amsterdam,226
218,Anacortes,334
219,Anaheim,300
220,Anaheim Hills,300
221,Ancaster,44
222,Anchorage,297
223,Anderson,300
224,Andong-si,183
225,Andorra la Vella,1
226,Andover,310
227,Andrews AFB,119
228,Angeles City,14
229,Angels Camp,300
230,Angono,182
231,Anjo,29
232,Anjou,46
233,Ankara,165
234,Ankeny,306
235,Ann Arbor,314
236,Ann Arbor East,314
237,Annaka,168
238,Annandale,332
239,Annapolis,119
240,Anoka,315
241,Ansan,72
242,Ansan-si,72
243,Ansonia,116
244,Ansung,72
245,Antalya,1
246,Antelope,300
247,Anthem,3
248,Antiguo Cuscatlan,58
249,Antioch,300
250,Antipolo,182
251,Antipolo City,182
252,Antrim,136
253,Antwerp,24
254,Anyang,72
255,Anyang-si,72
256,包头市,32
257,北海市,76
258,北京市,61
259,Aomori,28
260,Apache Junction,3
261,Apex,318
262,Apodaca,210
263,Apopka,303
264,Apple Valley,300
265,Appleton,335
266,Aptos,300
267,Arcadia,300
268,Arcueil,128
269,Arden,318
270,Arden Hills,315
271,Ardiya,189
272,Ardmore,326
273,Ardsley,324
274,Arequipa,229
275,Arkadelphia,299
276,Arklow Co Wicklow,140
