id_country,country
0,NULL
1,AD
2,AE
3,AR
4,AT
5,AU
6,AW
7,AZ
8,BE
9,BG
10,BH
11,BN
12,BO
13,BR
14,BS
15,CA
16,CH
17,CL
18,CN
19,CO
20,CR
21,CW
22,CY
23,CZ
24,DE
25,DK
26,EG
27,ES
28,FI
29,FR
30,GB
31,GR
32,GT
33,HU
34,ID
35,IE
36,IN
37,JO
38,JP
39,KH
40,KR
41,KW
42,KZ
43,LB
44,LU
45,MA
46,MC
47,MX
48,MY
49,NL
50,NO
51,NZ
52,OM
53,PA
54,PE
55,PH
56,PL
57,PR
58,PT
59,QA
60,RO
61,RU
62,SA
63,SE
64,SG
65,SK
66,SV
67,TH
68,TR
69,TT
70,TW
71,US
72,VN
73,ZA
